Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.550029783,-3.37998962402344,-1.13871765136719,-0.187957763671875,-6.75021362304688,-3.70530700683594,-11.5205841064453
0.554812442,-3.36778259277344,-1.2254638671875,0.0478363037109375,-6.92010498046875,-3.39663696289062,-11.5540924072266
0.559568918,-3.37449645996094,-1.32014465332031,0.28179931640625,-6.92250061035156,-2.92524719238281,-11.3148040771484
0.564403272,-3.41787719726562,-1.40994262695312,0.515762329101562,-6.91770935058594,-2.54240417480469,-11.0085296630859
0.569217612,-3.50218200683594,-1.49119567871094,0.750335693359375,-7.21920776367188,-2.18826293945312,-10.6424255371094
0.574010303,-3.61334228515625,-1.59808349609375,0.962310791015625,-7.65231323242188,-2.05905151367188,-10.3002471923828
0.578800901,-3.74774169921875,-1.75325012207031,1.14007568359375,-8.21701049804688,-2.20022583007812,-9.67094421386719
0.583622339,-3.91818237304688,-1.9371337890625,1.28607177734375,-8.48262023925781,-2.0877685546875,-9.01051330566406
0.588422791,-4.1099853515625,-2.16864013671875,1.42718505859375,-8.50654602050781,-1.77430725097656,-8.63246154785156
0.593242352,-4.29385375976562,-2.43376159667969,1.58111572265625,-8.49697875976562,-1.34599304199219,-8.46017456054688
0.598052411,-4.44474792480469,-2.69949340820312,1.75216674804688,-8.60226440429688,-0.89373779296875,-8.290283203125
0.602878195,-4.5504150390625,-2.94873046875,1.9403076171875,-8.76496887207031,-0.482177734375,-8.20892333984375
0.607689983,-4.60357666015625,-3.17842102050781,2.14129638671875,-8.985107421875,-0.149581909179688,-8.10842895507812
0.612520831,-4.60845947265625,-3.37144470214844,2.35508728027344,-9.13346862792969,0.183029174804688,-7.80213928222656
0.61733754,-4.58158874511719,-3.54127502441406,2.58843994140625,-9.13346862792969,0.544342041015625,-7.60115051269531
0.622183433,-4.53208923339844,-3.71965026855469,2.85356140136719,-9.14064025878906,0.917617797851562,-7.16325378417969
0.62693848,-4.48445129394531,-3.92733764648438,3.14311218261719,-9.22200012207031,1.21194458007812,-6.49327087402344
0.631766635,-4.45939636230469,-4.17779541015625,3.44122314453125,-9.20285034179688,1.2310791015625,-5.83285522460938
0.636613857,-4.45635986328125,-4.48629760742188,3.73565673828125,-9.22917175292969,1.21194458007812,-5.21549987792969
0.641436218,-4.46917724609375,-4.84486389160156,4.00321960449219,-9.49717712402344,1.50865173339844,-4.59097290039062
0.646250395,-4.49360656738281,-5.22422790527344,4.21214294433594,-9.83695983886719,1.98481750488281,-4.01908874511719
0.651087096,-4.51683044433594,-5.61090087890625,4.35630798339844,-10.0451354980469,2.41552734375,-3.49028015136719
0.655922,-4.53271484375,-6.00735473632812,4.45220947265625,-10.0116271972656,2.85820007324219,-2.96385192871094
0.660739991,-4.52781677246094,-6.4007568359375,4.5224609375,-9.7484130859375,3.23626708984375,-2.60972595214844
0.665524991,-4.48750305175781,-6.77033996582031,4.58843994140625,-9.49478149414062,3.52101135253906,-2.42068481445312
0.670335598,-4.397705078125,-7.08187866210938,4.65379333496094,-9.2076416015625,3.91822814941406,-2.25798034667969
0.675155759,-4.25782775878906,-7.31401062011719,4.72282409667969,-9.04493713378906,4.327392578125,-2.10722351074219
0.679994963,-4.07577514648438,-7.49726867675781,4.79673767089844,-8.89418029785156,4.67434692382812,-1.89427185058594
0.684806414,-3.86808776855469,-7.66036987304688,4.87310791015625,-8.76496887207031,4.91363525390625,-1.62387084960938
0.689633412,-3.65243530273438,-7.81980895996094,4.9549560546875,-8.61183166503906,5.06437683105469,-1.29606628417969
0.694445473,-3.44108581542969,-7.974365234375,5.03620910644531,-8.42518615722656,5.22230529785156,-0.8892822265625
0.699260731,-3.244384765625,-8.11546325683594,5.11683654785156,-8.14283752441406,5.41612243652344,-0.463363647460938
0.704115044,-3.07211303710938,-8.24803161621094,5.19990539550781,-7.84133911132812,5.58601379394531,-0.109222412109375
0.708986011,-2.92184448242188,-8.39952087402344,5.28788757324219,-7.53744506835938,5.67694091796875,0.278411865234375
0.71378465,-2.79844665527344,-8.57545471191406,5.37522888183594,-7.2479248046875,5.77983093261719,0.666061401367188
0.718592214,-2.69766235351562,-8.78315734863281,5.45831298828125,-6.99906921386719,5.88751220703125,0.910125732421875
0.723418502,-2.60845947265625,-9.00672912597656,5.5322265625,-6.70474243164062,5.98562622070312,1.08479309082031
0.728243576,-2.52294921875,-9.20770263671875,5.59210205078125,-6.37693786621094,5.9329833984375,1.42218017578125
0.733018747,-2.44232177734375,-9.35125732421875,5.62446594238281,-6.3458251953125,5.82051086425781,1.690185546875
0.737814471,-2.36045837402344,-9.4251708984375,5.61468505859375,-6.14004516601562,5.81333923339844,1.74760437011719
0.742628144,-2.26210021972656,-9.44534301757812,5.56033325195312,-6.14961242675781,5.90904235839844,1.45089721679688
0.747460233,-2.13320922851562,-9.44044494628906,5.46075439453125,-5.85050964355469,6.09329223632812,1.197265625
0.752258244,-1.97438049316406,-9.40379333496094,5.33247375488281,-5.58491516113281,6.14833068847656,1.13026428222656
0.75706118,-1.80027770996094,-9.34820556640625,5.17181396484375,-5.54423522949219,6.15072631835938,0.850296020507812
0.762014092,-1.60725402832031,-9.2791748046875,4.97511291503906,-5.41502380371094,6.09329223632812,0.711517333984375
0.766875592,-1.40750122070312,-9.17655944824219,4.75032043457031,-5.25469970703125,6.03108215332031,0.699554443359375
0.771718869,-1.21507263183594,-9.04521179199219,4.50596618652344,-5.22358703613281,6.05023193359375,0.776123046875
0.776563995,-1.04035949707031,-8.92059326171875,4.241455078125,-5.137451171875,6.09808349609375,0.618194580078125
0.781417978,-0.87420654296875,-8.79109191894531,3.97390747070312,-4.60624694824219,5.98323059082031,0.697158813476562
0.786268834,-0.72821044921875,-8.59683227539062,3.71672058105469,-4.4578857421875,5.89469909667969,0.730667114257812
0.791134434,-0.597488403320312,-8.32072448730469,3.45220947265625,-4.25210571289062,5.98323059082031,0.711517333984375
0.795973896,-0.478363037109375,-7.94076538085938,3.18342590332031,-4.11093139648438,6.16268920898438,0.5894775390625
0.800822485,-0.3671875,-7.49848937988281,2.91098022460938,-4.27125549316406,6.39958190917969,0.338241577148438
0.805615855,-0.261505126953125,-7.05194091796875,2.63365173339844,-4.18510437011719,6.58621215820312,0.309524536132812
0.810379851,-0.179046630859375,-6.62188720703125,2.370361328125,-4.30235290527344,6.68911743164062,0.417205810546875
0.815210062,-0.128952026367188,-6.23033142089844,2.12174987792969,-4.3980712890625,6.79438781738281,0.467453002929688
0.82004028,-0.107559204101562,-5.88273620605469,1.89633178710938,-4.37892150878906,6.83746337890625,0.548812866210938
0.8248184,-0.114288330078125,-5.58647155761719,1.70512390136719,-4.3980712890625,6.83985900878906,0.654098510742188
0.829703668,-0.14605712890625,-5.34701538085938,1.54263305664062,-4.39567565917969,6.89250183105469,0.685195922851562
0.83453156,-0.191253662109375,-5.17596435546875,1.40824890136719,-4.27125549316406,6.94992065429688,0.639739990234375
0.839365426,-0.2364501953125,-5.03668212890625,1.30378723144531,-3.98171997070312,7.08631896972656,0.957977294921875
0.844201684,-0.279830932617188,-4.86137390136719,1.22987365722656,-3.64433288574219,7.32560729980469,0.90533447265625
0.849028856,-0.29815673828125,-4.67138671875,1.19871520996094,-3.0030517578125,7.51223754882812,1.08001708984375
0.853859094,-0.293869018554688,-4.42886352539062,1.22254943847656,-2.39048767089844,7.61991882324219,1.34323120117188
0.858677998,-0.265777587890625,-4.11488342285156,1.29705810546875,-2.09617614746094,7.7060546875,1.54182434082031
0.863380168,-0.213851928710938,-3.77033996582031,1.40029907226562,-2.21102905273438,7.88790893554688,1.73326110839844
0.868163765,-0.145431518554688,-3.45758056640625,1.5010986328125,-2.54362487792969,7.99319458007812,1.84571838378906
0.872987467,-0.0684661865234375,-3.22239685058594,1.57684326171875,-3.09397888183594,8.18701171875,1.82418823242188
0.877783502,0.0084991455078125,-3.10694885253906,1.61044311523438,-3.65869140625,8.30665588378906,1.73564147949219
0.88258336,0.0799713134765625,-3.0928955078125,1.59822082519531,-4.0128173828125,8.41194152832031,1.79786682128906
0.88738335,0.136764526367188,-3.11244201660156,1.54753112792969,-4.14921569824219,8.52919006347656,1.97013854980469
0.892169633,0.178314208984375,-3.12403869628906,1.47360229492188,-4.13006591796875,8.58183288574219,1.96775817871094
0.896982683,0.2100830078125,-3.12403869628906,1.38990783691406,-3.95060729980469,8.58183288574219,1.77632141113281
0.901796555,0.244293212890625,-3.1044921875,1.31172180175781,-3.62278747558594,8.52919006347656,1.60882568359375
0.906591503,0.277877807617188,-3.05563354492188,1.25186157226562,-3.17294311523438,8.4334716796875,1.654296875
0.911435176,0.302322387695312,-2.96522521972656,1.2152099609375,-2.76376342773438,8.33537292480469,1.86964416503906
0.916225726,0.307205200195312,-2.82838439941406,1.19503784179688,-2.4981689453125,8.32341003417969,2.13046264648438
0.921062616,0.28765869140625,-2.65672302246094,1.17916870117188,-2.35939025878906,8.4215087890625,2.33146667480469
0.925880233,0.251617431640625,-2.47285461425781,1.15716552734375,-2.40484619140625,8.59140014648438,2.5013427734375
0.930655831,0.199081420898438,-2.29447937011719,1.12052917480469,-2.54362487792969,8.79718017578125,2.59945678710938
0.935475057,0.13861083984375,-2.12527465820312,1.0618896484375,-2.732666015625,8.90725708007812,2.54681396484375
